flight_nr,dep_from,arr_at,departure,arrival,aircraft_id,captain,copilot,fsm,fa1,fa2,fa3,fa4,fa5, seats_sold
NA041,KEF,KUS,2023-11-06 14:31:00,2023-11-06 16:31:00,TF-UVR,1309797899,2500812671,2200763823,1103912131,2801645554, N/A, N/A, N/A, 92
NA042,KUS,KEF,2023-11-06 17:31:00,2023-11-06 19:31:00,TF-UVR,1309797899,2500812671,2200763823,1103912131,2801645554, N/A, N/A, N/A, 68
NA041,KEF,KUS,2023-11-30 13:22:00,2023-11-30 15:22:00,TF-XZM,2910858778,2211658134,2200763823,1110732819,2801645554, N/A, N/A, N/A, 78
NA042,KUS,KEF,2023-11-30 16:22:00,2023-11-30 18:22:00,TF-XZM,2910858778,2211658134,2200763823,1110732819,2801645554, N/A, N/A, N/A, 83
NA051,KEF,FAE,2023-11-18 00:00:00,2023-11-18 01:00:00,TF-LNQ,2209955782,2504939263,409858797,1103912131,1103912131, N/A, N/A, N/A, 59
NA052,FAE,KEF,2023-11-18 02:00:00,2023-11-18 03:00:00,TF-LNQ,2209955782,2504939263,409858797,1103912131,1103912131, N/A, N/A, N/A, 66
NA051,KEF,FAE,2023-11-30 00:00:00,2023-11-30 01:00:00,TF-UVR,1309797899,1309927223,1600904199,1311772221,1110732819, N/A, N/A, N/A,80
NA052,FAE,KEF,2023-11-30 02:00:00,2023-11-30 03:00:00,TF-UVR,1309797899,1309927223,1600904199,1311772221,1110732819, N/A, N/A, N/A, 76
NA061,KEF,LWK,2023-11-06 00:00:00,2023-11-06 02:00:00,TF-TYQ,3009907461,2410876598,1405853585,2602806942,2509913418, N/A, N/A, N/A, 82
NA062,LWK,KEF,2023-11-06 03:00:00,2023-11-06 05:00:00,TF-TYQ,3009907461,2410876598,1405853585,2602806942,2509913418, N/A, N/A, N/A, 68
NA061,KEF,LWK,2023-11-24 00:00:00,2023-11-24 02:00:00,TF-PGK,2907675667,1900769521,1811931544,1107951952,2509913418, N/A, N/A, N/A, 74
NA062,LWK,KEF,2023-11-24 03:00:00,2023-11-24 05:00:00,TF-PGK,2907675667,1900769521,1811931544,1107951952,2509913418, N/A, N/A, N/A, 64
